[Epoch 1]	Learning rate: 1.00e-5
[4800/16000]	[L1: 3.1140]	42.7+0.5s
[5600/16000]	[L1: 3.1138]	42.2+0.5s
[6400/16000]	[L1: 3.1160]	42.4+0.5s
[7200/16000]	[L1: 3.1170]	41.7+0.5s
[8000/16000]	[L1: 3.1180]	42.0+0.5s
[8800/16000]	[L1: 3.1175]	42.3+0.5s
[9600/16000]	[L1: 3.1155]	42.3+0.5s
[10400/16000]	[L1: 3.1165]	42.3+0.5s
[11200/16000]	[L1: 3.1179]	42.4+0.5s
[12000/16000]	[L1: 3.1171]	41.8+0.5s
[12800/16000]	[L1: 3.1162]	42.1+0.5s
[13600/16000]	[L1: 3.1169]	42.1+0.5s
[14400/16000]	[L1: 3.1143]	42.3+0.5s
[15200/16000]	[L1: 3.1134]	42.5+0.5s
[16000/16000]	[L1: 3.1135]	42.2+0.5s
[Epoch 13]	Learning rate: 6.25e-7
[800/16000]	[L1: 3.1914]	42.2+0.7s
[1600/16000]	[L1: 3.1528]	41.9+0.5s
[2400/16000]	[L1: 3.1364]	42.0+0.5s
[3200/16000]	[L1: 3.1225]	42.1+0.5s
[4000/16000]	[L1: 3.1218]	42.0+0.5s
[4800/16000]	[L1: 3.1247]	42.0+0.5s
[5600/16000]	[L1: 3.1203]	42.1+0.5s
[6400/16000]	[L1: 3.1212]	41.6+0.5s
[7200/16000]	[L1: 3.1158]	42.1+0.5s
[8000/16000]	[L1: 3.1153]	42.1+0.5s
[8800/16000]	[L1: 3.1122]	41.9+0.5s
[9600/16000]	[L1: 3.1101]	42.1+0.5s
[10400/16000]	[L1: 3.1121]	41.9+0.5s
[11200/16000]	[L1: 3.1111]	41.9+0.5s
[12000/16000]	[L1: 3.1127]	41.8+0.5s
[12800/16000]	[L1: 3.1120]	41.9+0.5s
[13600/16000]	[L1: 3.1120]	41.8+0.5s
[14400/16000]	[L1: 3.1122]	42.0+0.5s
[15200/16000]	[L1: 3.1122]	41.8+0.5s
[16000/16000]	[L1: 3.1109]	41.9+0.5s
[Epoch 14]	Learning rate: 6.25e-7
[800/16000]	[L1: 3.1079]	41.8+0.7s
[1600/16000]	[L1: 3.0948]	41.8+0.5s
[2400/16000]	[L1: 3.1017]	42.4+0.5s
[3200/16000]	[L1: 3.0994]	41.6+0.5s
[4000/16000]	[L1: 3.1076]	42.4+0.5s
[4800/16000]	[L1: 3.1097]	41.9+0.5s
[5600/16000]	[L1: 3.1120]	41.9+0.5s
[6400/16000]	[L1: 3.1114]	41.9+0.5s
[7200/16000]	[L1: 3.1089]	42.3+0.5s
[8000/16000]	[L1: 3.1110]	42.0+0.5s
[8800/16000]	[L1: 3.1136]	42.2+0.5s
[9600/16000]	[L1: 3.1133]	42.2+0.5s
[10400/16000]	[L1: 3.1137]	42.0+0.5s
[11200/16000]	[L1: 3.1110]	42.2+0.5s
[12000/16000]	[L1: 3.1126]	42.0+0.5s
[12800/16000]	[L1: 3.1117]	41.8+0.5s
[13600/16000]	[L1: 3.1110]	42.1+0.5s
[14400/16000]	[L1: 3.1105]	42.2+0.5s
[15200/16000]	[L1: 3.1105]	42.3+0.5s
[16000/16000]	[L1: 3.1105]	42.3+0.5s
[Epoch 15]	Learning rate: 6.25e-7
[800/16000]	[L1: 3.1033]	42.3+0.7s
[1600/16000]	[L1: 3.1131]	42.0+0.5s
[2400/16000]	[L1: 3.1184]	41.8+0.4s
[3200/16000]	[L1: 3.1114]	42.3+0.5s
[4000/16000]	[L1: 3.1038]	42.3+0.5s
[4800/16000]	[L1: 3.0978]	42.3+0.5s
[5600/16000]	[L1: 3.1014]	42.4+0.5s
[6400/16000]	[L1: 3.1058]	42.5+0.5s
[7200/16000]	[L1: 3.1086]	42.4+0.5s
